          ('FranklinOT', 'FG3') :     0 :   0.0 :  None : False : False
          ('FranklinOT', 'FG4') :     0 :   0.0 :  None : False : False
          ('FranklinOT', 'FG5') :     0 :   0.0 :  None : False : False
          ('FranklinOT', 'FG6') :     0 :   0.0 :  None : False : False
              ('Gerald', 'AG1') :     0 :   0.0 :  None : False : False
              ('Gerald', 'AG2') :     0 :   0.0 :  None : False : False
              ('Gerald', 'AG3') :     0 :   7.0 :  None : False : False
              ('Gerald', 'AG4') :     0 :  28.0 :  None : False : False
              ('Gerald', 'BP1') :     0 :  10.0 :  None : False : False
              ('Gerald', 'BP2') :     0 :   0.0 :  None : False : False
              ('Gerald', 'BP3') :     0 :   0.0 :  None : False : False
              ('Gerald', 'BP4') :     0 :   0.0 :  None : False : False
              ('Gerald', 'BP5') :     0 :   0.0 :  None : False : False
              ('Gerald', 'BP6') :     0 :   0.0 :  None : False : False
              ('Gerald', 'CL1') :     0 :   0.0 :  None : False : False
              ('Gerald', 'CL2') :     0 :   0.0 :  None : False : False
              ('Gerald', 'CL3') :     0 :   0.0 :  None : False : False
               ('Gerald', 'DD') :     0 :   0.0 :  None : False : False
              ('Gerald', 'FG1') :     0 :   0.0 :  None : False : False
              ('Gerald', 'FG2') :     0 :   0.0 :  None : False : False
              ('Gerald', 'FG3') :     0 :   0.0 :  None : False : False
              ('Gerald', 'FG4') :     0 :   0.0 :  None : False : False
              ('Gerald', 'FG5') :     0 :   0.0 :  None : False : False
              ('Gerald', 'FG6') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'AG1') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'AG2') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'AG3') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'AG4') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'BP1') :     0 :  15.0 :  None : False : False
            ('GeraldOT', 'BP2') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'BP3') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'BP4') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'BP5') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'BP6') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'CL1') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'CL2') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'CL3') :     0 :   0.0 :  None : False : False
             ('GeraldOT', 'DD') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'FG1') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'FG2') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'FG3') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'FG4') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'FG5') :     0 :   0.0 :  None : False : False
            ('GeraldOT', 'FG6') :     0 :   0.0 :  None : False : False
              ('Grover', 'AG1') :     0 :   0.0 :  None : False : False
              ('Grover', 'AG2') :     0 :   0.0 :  None : False : False
              ('Grover', 'AG3') :     0 :   0.0 :  None : False : False
              ('Grover', 'AG4') :     0 :   0.0 :  None : False : False
              ('Grover', 'BP1') :     0 :   3.0 :  None : False : False
              ('Grover', 'BP2') :     0 :  28.0 :  None : False : False
              ('Grover', 'BP3') :     0 :  14.0 :  None : False : False
              ('Grover', 'BP4') :     0 :   0.0 :  None : False : False
              ('Grover', 'BP5') :     0 :   0.0 :  None : False : False
              ('Grover', 'BP6') :     0 :   0.0 :  None : False : False
              ('Grover', 'CL1') :     0 :   0.0 :  None : False : False
              ('Grover', 'CL2') :     0 :   0.0 :  None : False : False
              ('Grover', 'CL3') :     0 :   0.0 :  None : False : False
               ('Grover', 'DD') :     0 :   0.0 :  None : False : False
              ('Grover', 'FG1') :     0 :   0.0 :  None : False : False
              ('Grover', 'FG2') :     0 :   0.0 :  None : False : False
              ('Grover', 'FG3') :     0 :   0.0 :  None : False : False
              ('Grover', 'FG4') :     0 :   0.0 :  None : False : False
              ('Grover', 'FG5') :     0 :   0.0 :  None : False : False
              ('Grover', 'FG6') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'AG1') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'AG2') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'AG3') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'AG4') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'BP1') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'BP2') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'BP3') :     0 :  14.0 :  None : False : False
            ('GroverOT', 'BP4') :     0 :   1.0 :  None : False : False
            ('GroverOT', 'BP5') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'BP6') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'CL1') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'CL2') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'CL3') :     0 :   0.0 :  None : False : False
             ('GroverOT', 'DD') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'FG1') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'FG2') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'FG3') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'FG4') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'FG5') :     0 :   0.0 :  None : False : False
            ('GroverOT', 'FG6') :     0 :   0.0 :  None : False : False
               ('Marty', 'AG1') :     0 :   0.0 :  None : False : False
               ('Marty', 'AG2') :     0 :   0.0 :  None : False : False
               ('Marty', 'AG3') :     0 :   0.0 :  None : False : False
               ('Marty', 'AG4') :     0 :   0.0 :  None : False : False
               ('Marty', 'BP1') :     0 :   0.0 :  None : False : False
               ('Marty', 'BP2') :     0 :   0.0 :  None : False : False
               ('Marty', 'BP3') :     0 :   0.0 :  None : False : False
               ('Marty', 'BP4') :     0 :  27.0 :  None : False : False
               ('Marty', 'BP5') :     0 :   0.0 :  None : False : False
               ('Marty', 'BP6') :     0 :  18.0 :  None : False : False
               ('Marty', 'CL1') :     0 :   0.0 :  None : False : False
               ('Marty', 'CL2') :     0 :   0.0 :  None : False : False
               ('Marty', 'CL3') :     0 :   0.0 :  None : False : False
                ('Marty', 'DD') :     0 :   0.0 :  None : False : False
               ('Marty', 'FG1') :     0 :   0.0 :  None : False : False
               ('Marty', 'FG2') :     0 :   0.0 :  None : False : False
               ('Marty', 'FG3') :     0 :   0.0 :  None : False : False
               ('Marty', 'FG4') :     0 :   0.0 :  None : False : False
               ('Marty', 'FG5') :     0 :   0.0 :  None : False : False
               ('Marty', 'FG6') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'AG1') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'AG2') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'AG3') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'AG4') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'BP1') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'BP2') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'BP3') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'BP4') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'BP5') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'BP6') :     0 :  10.0 :  None : False : False
             ('MartyOT', 'CL1') :     0 :   5.0 :  None : False : False
             ('MartyOT', 'CL2') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'CL3') :     0 :   0.0 :  None : False : False
              ('MartyOT', 'DD') :     0 :   0.0 :  None : False : False
